trial,learners,groups,learners_per_group,validation_samples,test_samples,correlation_threshold,graph_edges,mean_validation_error_correlation,gamma_dsi,red_size,blue_size,red_vertices,blue_vertices,dsi_test_accuracy,random_mean_test_accuracy,random_sd_test_accuracy,dsi_minus_random_accuracy,dsi_accuracy_percentile,dsi_mean_individual_accuracy,random_mean_individual_accuracy,dsi_avg_error_correlation,random_mean_error_correlation,dsi_minus_random_correlation,dsi_status,cbc_wall_time_seconds,driver_wall_time_seconds,cbc_nodes,lp_file,log_file,solution_file
0,48,6,8,1000,3000,0.15,168,0.075240,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.956000,0.940030,0.012789,0.015970,0.950000,0.784694,0.786293,0.047598,0.078986,-0.031388,Optimal,0.04,0.067110,0,lp/trial_000.lp,logs/trial_000.log,solutions/trial_000.sol
1,48,6,8,1000,3000,0.15,168,0.074915,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.949333,0.925025,0.017704,0.024308,0.980000,0.768750,0.769741,0.044641,0.080512,-0.035871,Optimal,0.04,0.055206,0,lp/trial_001.lp,logs/trial_001.log,solutions/trial_001.sol
2,48,6,8,1000,3000,0.15,168,0.076571,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.950000,0.931778,0.016076,0.018222,0.932500,0.776306,0.778479,0.047758,0.082900,-0.035142,Optimal,0.09,0.112511,0,lp/trial_002.lp,logs/trial_002.log,solutions/trial_002.sol
3,48,6,8,1000,3000,0.15,168,0.083420,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.953000,0.932928,0.016802,0.020072,0.940000,0.774556,0.780212,0.045935,0.081943,-0.036009,Optimal,0.04,0.055320,0,lp/trial_003.lp,logs/trial_003.log,solutions/trial_003.sol
4,48,6,8,1000,3000,0.15,168,0.077300,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.945667,0.928302,0.015212,0.017365,0.910000,0.768889,0.773366,0.048405,0.081942,-0.033536,Optimal,0.04,0.057716,0,lp/trial_004.lp,logs/trial_004.log,solutions/trial_004.sol
5,48,6,8,1000,3000,0.15,168,0.072109,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.966000,0.952837,0.013157,0.013163,0.872500,0.791806,0.797609,0.036709,0.067862,-0.031152,Optimal,0.04,0.053866,0,lp/trial_005.lp,logs/trial_005.log,solutions/trial_005.sol
6,48,6,8,1000,3000,0.15,168,0.070914,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.961333,0.936720,0.014764,0.024613,0.997500,0.788556,0.780645,0.049417,0.077919,-0.028502,Optimal,0.04,0.052969,0,lp/trial_006.lp,logs/trial_006.log,solutions/trial_006.sol
7,48,6,8,1000,3000,0.15,168,0.086240,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.952667,0.936372,0.013200,0.016295,0.930000,0.783472,0.782578,0.049415,0.078894,-0.029479,Optimal,0.05,0.068065,0,lp/trial_007.lp,logs/trial_007.log,solutions/trial_007.sol
8,48,6,8,1000,3000,0.15,168,0.081132,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.942333,0.914872,0.016013,0.027462,1.000000,0.763583,0.758004,0.056237,0.081106,-0.024870,Optimal,0.04,0.050560,0,lp/trial_008.lp,logs/trial_008.log,solutions/trial_008.sol
9,48,6,8,1000,3000,0.15,168,0.081955,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.948333,0.924012,0.015306,0.024322,0.995000,0.769167,0.770841,0.050412,0.085535,-0.035123,Optimal,0.04,0.057170,0,lp/trial_009.lp,logs/trial_009.log,solutions/trial_009.sol
10,48,6,8,1000,3000,0.15,168,0.077275,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.968000,0.947050,0.014015,0.020950,0.995000,0.791361,0.791327,0.040924,0.071870,-0.030946,Optimal,0.04,0.055541,0,lp/trial_010.lp,logs/trial_010.log,solutions/trial_010.sol
11,48,6,8,1000,3000,0.15,168,0.075647,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.964667,0.938982,0.014222,0.025685,1.000000,0.791694,0.784143,0.050522,0.077707,-0.027184,Optimal,0.04,0.053241,0,lp/trial_011.lp,logs/trial_011.log,solutions/trial_011.sol
12,48,6,8,1000,3000,0.15,168,0.078064,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.959000,0.934265,0.015098,0.024735,0.990000,0.778250,0.777026,0.045691,0.075649,-0.029959,Optimal,0.05,0.072354,0,lp/trial_012.lp,logs/trial_012.log,solutions/trial_012.sol
13,48,6,8,1000,3000,0.15,168,0.081462,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.957000,0.934210,0.015377,0.022790,0.985000,0.783750,0.781318,0.048954,0.080261,-0.031307,Optimal,0.03,0.046838,0,lp/trial_013.lp,logs/trial_013.log,solutions/trial_013.sol
14,48,6,8,1000,3000,0.15,168,0.074566,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.953333,0.938965,0.014479,0.014368,0.867500,0.779139,0.780940,0.045320,0.074501,-0.029181,Optimal,0.03,0.045672,0,lp/trial_014.lp,logs/trial_014.log,solutions/trial_014.sol
15,48,6,8,1000,3000,0.15,168,0.080328,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.953667,0.935937,0.013250,0.017730,0.947500,0.778750,0.782160,0.050144,0.081075,-0.030931,Optimal,0.04,0.054546,0,lp/trial_015.lp,logs/trial_015.log,solutions/trial_015.sol
16,48,6,8,1000,3000,0.15,168,0.077784,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.956667,0.931785,0.013428,0.024882,1.000000,0.785000,0.777891,0.053584,0.079703,-0.026120,Optimal,0.04,0.049782,0,lp/trial_016.lp,logs/trial_016.log,solutions/trial_016.sol
17,48,6,8,1000,3000,0.15,168,0.079367,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.963000,0.943367,0.012874,0.019633,0.975000,0.782472,0.786256,0.043358,0.072846,-0.029488,Optimal,0.04,0.049266,0,lp/trial_017.lp,logs/trial_017.log,solutions/trial_017.sol
18,48,6,8,1000,3000,0.15,168,0.077877,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.951333,0.927555,0.016099,0.023778,0.982500,0.773944,0.771850,0.049924,0.080308,-0.030385,Optimal,0.04,0.050122,0,lp/trial_018.lp,logs/trial_018.log,solutions/trial_018.sol
19,48,6,8,1000,3000,0.15,168,0.070811,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.967333,0.947332,0.018532,0.020002,0.950000,0.791139,0.795596,0.041021,0.074693,-0.033671,Optimal,0.03,0.047016,0,lp/trial_019.lp,logs/trial_019.log,solutions/trial_019.sol
20,48,6,8,1000,3000,0.15,168,0.069597,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.941667,0.933025,0.016197,0.008642,0.647500,0.772833,0.777089,0.049718,0.078695,-0.028977,Optimal,0.03,0.043949,0,lp/trial_020.lp,logs/trial_020.log,solutions/trial_020.sol
21,48,6,8,1000,3000,0.15,168,0.075970,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.950333,0.928043,0.015936,0.022290,0.972500,0.770778,0.768702,0.043392,0.074692,-0.031300,Optimal,0.03,0.045907,0,lp/trial_021.lp,logs/trial_021.log,solutions/trial_021.sol
22,48,6,8,1000,3000,0.15,168,0.077687,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.942000,0.917567,0.018814,0.024433,0.945000,0.755806,0.758723,0.041654,0.078771,-0.037117,Optimal,0.03,0.044651,0,lp/trial_022.lp,logs/trial_022.log,solutions/trial_022.sol
23,48,6,8,1000,3000,0.15,168,0.078825,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.956667,0.937058,0.016272,0.019608,0.950000,0.780722,0.779051,0.041540,0.073979,-0.032439,Optimal,0.03,0.045695,0,lp/trial_023.lp,logs/trial_023.log,solutions/trial_023.sol
24,48,6,8,1000,3000,0.15,168,0.085600,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.937333,0.914787,0.018092,0.022547,0.930000,0.759333,0.762489,0.053388,0.086580,-0.033192,Optimal,0.03,0.045908,0,lp/trial_024.lp,logs/trial_024.log,solutions/trial_024.sol
25,48,6,8,1000,3000,0.15,168,0.073596,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.951333,0.932455,0.016885,0.018878,0.935000,0.780278,0.777378,0.048725,0.077596,-0.028871,Optimal,0.03,0.043227,0,lp/trial_025.lp,logs/trial_025.log,solutions/trial_025.sol
26,48,6,8,1000,3000,0.15,168,0.076100,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.953667,0.927222,0.016049,0.026445,0.995000,0.769778,0.769497,0.045584,0.077674,-0.032089,Optimal,0.03,0.045412,0,lp/trial_026.lp,logs/trial_026.log,solutions/trial_026.sol
27,48,6,8,1000,3000,0.15,168,0.077351,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.955667,0.932295,0.016804,0.023372,0.985000,0.775361,0.772536,0.048615,0.074066,-0.025451,Optimal,0.03,0.045294,0,lp/trial_027.lp,logs/trial_027.log,solutions/trial_027.sol
28,48,6,8,1000,3000,0.15,168,0.073118,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.952000,0.929822,0.013179,0.022178,1.000000,0.772083,0.771297,0.046206,0.075827,-0.029621,Optimal,0.04,0.048787,0,lp/trial_028.lp,logs/trial_028.log,solutions/trial_028.sol
29,48,6,8,1000,3000,0.15,168,0.086407,12,6,6,0 15 22 24 37 41,4 13 18 26 34 45,0.958000,0.936317,0.013588,0.021683,0.990000,0.784444,0.783674,0.051698,0.081989,-0.030291,Optimal,0.03,0.043662,0,lp/trial_029.lp,logs/trial_029.log,solutions/trial_029.sol
