dataset,trial,examples,features,classes,train_size,validation_size,test_size,base_learners,candidate_learners,validation_slack,validation_accuracy_cutoff,edge_density_target,edge_threshold,graph_edges,graph_density,mean_pair_validation_agreement,gamma_dsi,red_size,blue_size,selected_size,red_vertices,blue_vertices,lex_red_size,lex_blue_size,lex_red_vertices,lex_blue_vertices,lex_dsi_weight_objective,lex_dsi_changed_selection,margin_red_size,margin_blue_size,margin_red_vertices,margin_blue_vertices,margin_dsi_weight_objective,margin_dsi_validation_strict_correct,margin_dsi_changed_selection,dsi_validation_accuracy,lex_dsi_validation_accuracy,margin_dsi_validation_accuracy,topk_validation_accuracy,dsi_test_accuracy,lex_dsi_test_accuracy,margin_dsi_test_accuracy,topk_test_accuracy,full_test_accuracy,best_individual_test_accuracy,random_mean_test_accuracy,random_sd_test_accuracy,dsi_minus_random_accuracy,lex_dsi_minus_random_accuracy,margin_dsi_minus_random_accuracy,dsi_minus_topk_accuracy,lex_dsi_minus_topk_accuracy,margin_dsi_minus_topk_accuracy,dsi_minus_full_accuracy,lex_dsi_minus_full_accuracy,margin_dsi_minus_full_accuracy,dsi_accuracy_percentile,lex_dsi_accuracy_percentile,margin_dsi_accuracy_percentile,dsi_mean_pair_agreement,lex_dsi_mean_pair_agreement,margin_dsi_mean_pair_agreement,topk_mean_pair_agreement,random_mean_pair_agreement,dsi_avg_error_correlation,lex_dsi_avg_error_correlation,margin_dsi_avg_error_correlation,topk_avg_error_correlation,random_mean_error_correlation,dsi_status,lex_dsi_status,margin_dsi_status,cbc_wall_time_seconds,lex_cbc_wall_time_seconds,margin_cbc_wall_time_seconds,driver_wall_time_seconds,lex_driver_wall_time_seconds,margin_driver_wall_time_seconds,cbc_nodes,lex_cbc_nodes,margin_cbc_nodes,lp_file,log_file,solution_file,lex_lp_file,lex_log_file,lex_solution_file,margin_lp_file,margin_log_file,margin_solution_file
penguins,17,333,10,3,200,67,66,48,16,0.050,0.950000,0.250,0.940299,32,0.266667,0.841667,9,2,7,9,1 13,0 9 10 11 12 14 15,2,7,3 13,1 9 10 11 12 14 15,7.716417,1,2,7,3 13,1 9 10 11 12 14 15,66.007716,66,1,1.000000,1.000000,1.000000,1.000000,0.984848,0.984848,0.984848,1.000000,1.000000,0.954545,0.988561,0.013713,-0.003712,-0.003712,-0.003712,-0.015152,-0.015152,-0.015152,-0.015152,-0.015152,-0.015152,0.350000,0.350000,0.350000,0.748316,0.751263,0.751263,0.937290,0.819396,0.128238,0.106577,0.106577,0.081702,0.111142,Optimal,Optimal,Optimal,0.00,0.00,0.01,0.014168,0.010896,0.019190,0,0,0,lp/penguins_trial_017.lp,logs/penguins_trial_017.log,solutions/penguins_trial_017.sol,lp/penguins_trial_017_lex.lp,logs/penguins_trial_017_lex.log,solutions/penguins_trial_017_lex.sol,lp/penguins_trial_017_margin.lp,logs/penguins_trial_017_margin.log,solutions/penguins_trial_017_margin.sol
penguins,18,333,10,3,200,67,66,48,16,0.050,0.950000,0.250,0.940299,42,0.350000,0.889677,6,4,2,6,6 13 14 15,5 12,5,1,6 12 13 14 15,5,5.283583,0,2,4,6 12,5 13 14 15,66.005283,66,0,0.985075,0.985075,0.985075,1.000000,0.984848,0.984848,0.984848,1.000000,1.000000,1.000000,0.996212,0.006750,-0.011364,-0.011364,-0.011364,-0.015152,-0.015152,-0.015152,-0.015152,-0.015152,-0.015152,0.125000,0.125000,0.125000,0.820202,0.820202,0.820202,0.989899,0.894323,0.091804,0.091804,0.091804,-0.001026,0.083710,Optimal,Optimal,Optimal,0.01,0.01,0.01,0.013774,0.012862,0.021967,0,0,0,lp/penguins_trial_018.lp,logs/penguins_trial_018.log,solutions/penguins_trial_018.sol,lp/penguins_trial_018_lex.lp,logs/penguins_trial_018_lex.log,solutions/penguins_trial_018_lex.sol,lp/penguins_trial_018_margin.lp,logs/penguins_trial_018_margin.log,solutions/penguins_trial_018_margin.sol
penguins,19,333,10,3,200,67,66,48,16,0.050,0.950000,0.250,0.940299,34,0.283333,0.851741,9,3,6,9,0 9 14,3 10 11 12 13 15,3,6,1 9 14,0 10 11 12 13 15,7.776120,1,2,7,2 14,0 9 10 11 12 13 15,67.007776,67,1,1.000000,1.000000,1.000000,1.000000,0.984848,0.969697,0.984848,1.000000,1.000000,0.984848,0.991515,0.009919,-0.006667,-0.021818,-0.006667,-0.015152,-0.030303,-0.015152,-0.015152,-0.030303,-0.015152,0.275000,0.040000,0.275000,0.781145,0.781145,0.781145,0.968434,0.845905,0.126836,0.169884,0.126836,0.170729,0.119618,Optimal,Optimal,Optimal,0.00,0.01,0.01,0.013582,0.014243,0.016756,0,0,0,lp/penguins_trial_019.lp,logs/penguins_trial_019.log,solutions/penguins_trial_019.sol,lp/penguins_trial_019_lex.lp,logs/penguins_trial_019_lex.log,solutions/penguins_trial_019_lex.sol,lp/penguins_trial_019_margin.lp,logs/penguins_trial_019_margin.log,solutions/penguins_trial_019_margin.sol
wine,0,178,13,3,107,36,35,48,16,0.050,0.922222,0.250,1.000000,31,0.258333,0.962963,9,7,2,9,0 6 10 11 13 14 15,5 9,7,2,3 6 10 11 13 14 15,0 9,8.499999,1,7,2,1 6 11 12 13 14 15,2 9,35.008499,35,1,0.972222,0.972222,0.972222,0.972222,0.971429,0.971429,0.971429,0.971429,0.971429,0.942857,0.970857,0.004010,0.000571,0.000571,0.000571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.510000,0.510000,0.510000,0.909524,0.909524,0.920635,0.955556,0.932865,0.241953,0.241953,0.278782,0.484167,0.376084,Optimal,Optimal,Optimal,0.00,0.01,0.01,0.012257,0.013807,0.014682,0,0,0,lp/wine_trial_000.lp,logs/wine_trial_000.log,solutions/wine_trial_000.sol,lp/wine_trial_000_lex.lp,logs/wine_trial_000_lex.log,solutions/wine_trial_000_lex.sol,lp/wine_trial_000_margin.lp,logs/wine_trial_000_margin.log,solutions/wine_trial_000_margin.sol
wine,1,178,13,3,107,36,35,48,16,0.050,0.922222,0.250,0.916667,38,0.316667,0.875000,7,4,3,7,3 9 11 13,5 10 15,4,3,3 9 11 13,5 10 15,6.222221,0,2,5,2 9,5 10 11 13 15,34.006221,34,1,0.944444,0.944444,0.944444,0.972222,0.971429,0.971429,0.971429,0.971429,1.000000,0.971429,0.985000,0.018101,-0.013571,-0.013571,-0.013571,0.000000,0.000000,0.000000,-0.028571,-0.028571,-0.028571,0.262500,0.262500,0.262500,0.855782,0.855782,0.853061,0.923810,0.877299,0.121211,0.121211,0.166010,0.209207,0.157703,Optimal,Optimal,Optimal,0.01,0.00,0.01,0.015162,0.012707,0.019567,0,0,0,lp/wine_trial_001.lp,logs/wine_trial_001.log,solutions/wine_trial_001.sol,lp/wine_trial_001_lex.lp,logs/wine_trial_001_lex.log,solutions/wine_trial_001_lex.sol,lp/wine_trial_001_margin.lp,logs/wine_trial_001_margin.log,solutions/wine_trial_001_margin.sol
wine,2,178,13,3,107,36,35,48,16,0.050,0.950000,0.250,0.944444,55,0.458333,0.925694,6,3,3,6,6 9 14,1 11 15,3,3,1 13 15,3 12 14,5.666668,1,3,3,2 11 15,1 12 14,35.005668,35,1,1.000000,1.000000,1.000000,1.000000,0.971429,0.971429,0.971429,1.000000,1.000000,1.000000,0.984429,0.028899,-0.013000,-0.013000,-0.013000,-0.028571,-0.028571,-0.028571,-0.028571,-0.028571,-0.028571,0.217500,0.217500,0.217500,0.904762,0.906667,0.906667,0.899048,0.918476,0.165243,0.142019,0.142019,0.167291,0.076085,Optimal,Optimal,Optimal,0.01,0.02,0.02,0.015653,0.026023,0.031566,0,0,0,lp/wine_trial_002.lp,logs/wine_trial_002.log,solutions/wine_trial_002.sol,lp/wine_trial_002_lex.lp,logs/wine_trial_002_lex.log,solutions/wine_trial_002_lex.sol,lp/wine_trial_002_margin.lp,logs/wine_trial_002_margin.log,solutions/wine_trial_002_margin.sol
wine,3,178,13,3,107,36,35,48,16,0.050,0.950000,0.250,0.944444,69,0.575000,0.937731,4,3,1,4,0 14 15,2,3,1,1 14 15,0,3.833334,1,3,1,0 14 15,1,36.003834,36,1,1.000000,1.000000,1.000000,1.000000,0.942857,0.942857,0.942857,0.942857,0.971429,0.942857,0.936000,0.028245,0.006857,0.006857,0.006857,0.000000,0.000000,0.000000,-0.028571,-0.028571,-0.028571,0.595000,0.595000,0.595000,0.885714,0.866667,0.866667,0.876190,0.855310,0.243237,0.161347,0.161347,0.214812,0.195427,Optimal,Optimal,Optimal,0.01,0.01,0.01,0.016874,0.017925,0.023174,0,0,0,lp/wine_trial_003.lp,logs/wine_trial_003.log,solutions/wine_trial_003.sol,lp/wine_trial_003_lex.lp,logs/wine_trial_003_lex.log,solutions/wine_trial_003_lex.sol,lp/wine_trial_003_margin.lp,logs/wine_trial_003_margin.log,solutions/wine_trial_003_margin.sol
wine,4,178,13,3,107,36,35,48,16,0.050,0.922222,0.250,0.972222,33,0.275000,0.921991,9,6,3,9,6 8 9 10 11 15,5 7 12,6,3,2 8 9 10 11 15,6 7 12,8.388888,1,7,2,4 7 8 9 10 11 15,6 12,35.008388,35,1,0.972222,0.972222,0.972222,0.944444,0.971429,1.000000,1.000000,1.000000,1.000000,0.971429,0.997143,0.008593,-0.025714,0.002857,0.002857,-0.028571,0.000000,0.000000,-0.028571,0.000000,0.000000,0.050000,0.550000,0.550000,0.857143,0.857937,0.857937,0.946032,0.874373,0.167714,0.104468,0.104468,0.031597,0.109327,Optimal,Optimal,Optimal,0.00,0.01,0.01,0.011779,0.013266,0.020216,0,0,0,lp/wine_trial_004.lp,logs/wine_trial_004.log,solutions/wine_trial_004.sol,lp/wine_trial_004_lex.lp,logs/wine_trial_004_lex.log,solutions/wine_trial_004_lex.sol,lp/wine_trial_004_margin.lp,logs/wine_trial_004_margin.log,solutions/wine_trial_004_margin.sol
wine,5,178,13,3,107,36,35,48,16,0.050,0.894444,0.250,0.944444,39,0.325000,0.906250,7,5,2,7,4 8 11 13 15,0 9,5,2,4 8 11 13 15,0 9,6.361111,0,4,3,3 8 9 15,2 11 13,34.006361,34,1,0.944444,0.944444,0.944444,0.944444,1.000000,1.000000,1.000000,0.971429,1.000000,1.000000,0.990857,0.017601,0.009143,0.009143,0.009143,0.028571,0.028571,0.028571,0.000000,0.000000,0.000000,0.622500,0.622500,0.622500,0.859864,0.859864,0.842177,0.940136,0.891884,0.074576,0.074576,0.138719,0.178787,0.119432,Optimal,Optimal,Optimal,0.00,0.01,0.01,0.012710,0.013664,0.019708,0,0,0,lp/wine_trial_005.lp,logs/wine_trial_005.log,solutions/wine_trial_005.sol,lp/wine_trial_005_lex.lp,logs/wine_trial_005_lex.log,solutions/wine_trial_005_lex.sol,lp/wine_trial_005_margin.lp,logs/wine_trial_005_margin.log,solutions/wine_trial_005_margin.sol
wine,6,178,13,3,107,36,35,48,16,0.050,0.922222,0.250,0.944444,42,0.350000,0.912963,8,5,3,8,6 9 10 12 15,4 5 14,6,2,2 3 10 12 14 15,1 4,7.416666,1,6,2,0 4 10 12 14 15,2 3,34.007416,34,1,0.944444,0.972222,0.972222,0.972222,0.914286,0.942857,0.942857,0.942857,0.942857,0.971429,0.947714,0.014636,-0.033429,-0.004857,-0.004857,-0.028571,0.000000,0.000000,-0.028571,0.000000,0.000000,0.030000,0.415000,0.415000,0.897959,0.906122,0.904082,0.931633,0.921913,0.469517,0.459147,0.414413,0.523084,0.470890,Optimal,Optimal,Optimal,0.04,0.01,0.02,0.052844,0.014431,0.029578,0,0,0,lp/wine_trial_006.lp,logs/wine_trial_006.log,solutions/wine_trial_006.sol,lp/wine_trial_006_lex.lp,logs/wine_trial_006_lex.log,solutions/wine_trial_006_lex.sol,lp/wine_trial_006_margin.lp,logs/wine_trial_006_margin.log,solutions/wine_trial_006_margin.sol
wine,7,178,13,3,107,36,35,48,16,0.050,0.950000,0.250,1.000000,37,0.308333,0.959259,9,2,7,9,4 10,7 9 11 12 13 14 15,2,7,8 9,7 10 11 12 13 14 15,8.666666,1,2,7,6 10,2 9 11 12 13 14 15,36.008666,36,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.971429,0.971429,1.000000,1.000000,0.985286,0.014315,0.014714,0.014714,-0.013857,0.028571,0.028571,0.000000,0.000000,0.000000,-0.028571,0.757500,0.757500,0.257500,0.880952,0.880952,0.888889,0.963492,0.920357,0.120653,0.107031,0.184717,0.330223,0.214839,Optimal,Optimal,Optimal,0.01,0.01,0.01,0.013913,0.013116,0.014104,0,0,0,lp/wine_trial_007.lp,logs/wine_trial_007.log,solutions/wine_trial_007.sol,lp/wine_trial_007_lex.lp,logs/wine_trial_007_lex.log,solutions/wine_trial_007_lex.sol,lp/wine_trial_007_margin.lp,logs/wine_trial_007_margin.log,solutions/wine_trial_007_margin.sol
wine,8,178,13,3,107,36,35,48,16,0.050,0.922222,0.250,0.944444,32,0.266667,0.874537,9,8,1,9,0 9 10 11 12 13 14 15,5,7,2,3 10 11 12 13 14 15,0 9,7.999999,1,7,2,5 10 11 12 13 14 15,1 9,36.007999,36,1,1.000000,1.000000,1.000000,0.944444,0.914286,0.914286,0.942857,0.971429,0.971429,0.942857,0.966857,0.011614,-0.052571,-0.052571,-0.024000,-0.057143,-0.057143,-0.028571,-0.057143,-0.057143,-0.028571,0.007500,0.007500,0.080000,0.851587,0.851587,0.850794,0.968254,0.892726,0.359997,0.359997,0.341499,0.620634,0.382084,Optimal,Optimal,Optimal,0.01,0.00,0.01,0.014190,0.012449,0.014171,0,0,0,lp/wine_trial_008.lp,logs/wine_trial_008.log,solutions/wine_trial_008.sol,lp/wine_trial_008_lex.lp,logs/wine_trial_008_lex.log,solutions/wine_trial_008_lex.sol,lp/wine_trial_008_margin.lp,logs/wine_trial_008_margin.log,solutions/wine_trial_008_margin.sol
wine,9,178,13,3,107,36,35,48,16,0.050,0.922222,0.250,0.972222,46,0.383333,0.924769,7,6,1,7,1 11 12 13 14 15,0,6,1,1 11 12 13 14 15,0,6.416667,0,6,1,3 11 12 13 14 15,2,35.006417,35,1,0.972222,0.972222,0.972222,0.972222,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998857,0.005613,0.001143,0.001143,0.001143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.520000,0.520000,0.520000,0.915646,0.915646,0.915646,0.978231,0.924605,0.104237,0.104237,0.104237,0.033173,0.062525,Optimal,Optimal,Optimal,0.01,0.01,0.01,0.013934,0.015106,0.015201,0,0,0,lp/wine_trial_009.lp,logs/wine_trial_009.log,solutions/wine_trial_009.sol,lp/wine_trial_009_lex.lp,logs/wine_trial_009_lex.log,solutions/wine_trial_009_lex.sol,lp/wine_trial_009_margin.lp,logs/wine_trial_009_margin.log,solutions/wine_trial_009_margin.sol
wine,10,178,13,3,107,36,35,48,16,0.050,0.922222,0.250,0.944444,71,0.591667,0.935417,5,3,2,5,2 6 13,1 10,4,1,4 9 10 15,0,4.749999,1,3,2,3 10 13,5 8,36.004749,36,1,1.000000,0.972222,1.000000,0.972222,0.971429,0.971429,0.971429,0.971429,1.000000,0.914286,0.976000,0.019728,-0.004571,-0.004571,-0.004571,0.000000,0.000000,0.000000,-0.028571,-0.028571,-0.028571,0.420000,0.420000,0.420000,0.937143,0.820000,0.897143,0.911429,0.876743,0.149693,0.184734,0.201647,0.206873,0.148272,Optimal,Optimal,Optimal,0.02,0.01,0.01,0.026336,0.018508,0.023131,0,0,0,lp/wine_trial_010.lp,logs/wine_trial_010.log,solutions/wine_trial_010.sol,lp/wine_trial_010_lex.lp,logs/wine_trial_010_lex.log,solutions/wine_trial_010_lex.sol,lp/wine_trial_010_margin.lp,logs/wine_trial_010_margin.log,solutions/wine_trial_010_margin.sol
wine,11,178,13,3,107,36,35,48,16,0.050,0.950000,0.250,0.972222,34,0.283333,0.937731,8,3,5,8,0 10 12,1 11 13 14 15,3,5,0 10 12,1 11 13 14 15,7.611110,0,3,5,1 12 14,0 10 11 13 15,36.007610,36,0,1.000000,1.000000,1.000000,1.000000,0.971429,0.971429,0.971429,0.914286,0.914286,0.914286,0.938857,0.027628,0.032571,0.032571,0.032571,0.057143,0.057143,0.057143,0.057143,0.057143,0.057143,0.832500,0.832500,0.832500,0.954082,0.954082,0.954082,0.914286,0.924724,0.156967,0.156967,0.156967,0.436954,0.339071,Optimal,Optimal,Optimal,0.00,0.03,0.04,0.013304,0.040568,0.051658,0,0,0,lp/wine_trial_011.lp,logs/wine_trial_011.log,solutions/wine_trial_011.sol,lp/wine_trial_011_lex.lp,logs/wine_trial_011_lex.log,solutions/wine_trial_011_lex.sol,lp/wine_trial_011_margin.lp,logs/wine_trial_011_margin.log,solutions/wine_trial_011_margin.sol
wine,12,178,13,3,107,36,35,48,16,0.050,0.950000,0.250,0.972222,56,0.466667,0.953241,7,4,3,7,0 11 13 14,6 12 15,4,3,7 12 14 15,8 9 10,6.666666,1,5,2,7 9 12 14 15,8 10,35.006666,35,1,0.972222,0.972222,0.972222,1.000000,1.000000,0.971429,0.971429,0.971429,0.971429,1.000000,0.972000,0.004928,0.028000,-0.000571,-0.000571,0.028571,0.000000,0.000000,0.028571,0.000000,0.000000,0.987500,0.490000,0.490000,0.828571,0.863946,0.863946,0.961905,0.902707,0.036791,0.271983,0.271983,0.499913,0.329492,Optimal,Optimal,Optimal,0.02,0.02,0.02,0.024611,0.027613,0.026060,0,0,0,lp/wine_trial_012.lp,logs/wine_trial_012.log,solutions/wine_trial_012.sol,lp/wine_trial_012_lex.lp,logs/wine_trial_012_lex.log,solutions/wine_trial_012_lex.sol,lp/wine_trial_012_margin.lp,logs/wine_trial_012_margin.log,solutions/wine_trial_012_margin.sol
wine,13,178,13,3,107,36,35,48,16,0.050,0.950000,0.250,0.972222,54,0.450000,0.950000,6,4,2,6,1 12 14 15,2 13,5,1,1 12 13 14 15,0,5.749999,1,4,2,0 12 14 15,2 13,36.005749,36,1,1.000000,1.000000,1.000000,1.000000,0.942857,0.914286,0.914286,0.942857,0.942857,0.942857,0.933571,0.015672,0.009286,-0.019286,-0.019286,0.000000,-0.028571,-0.028571,0.000000,-0.028571,-0.028571,0.660000,0.180000,0.180000,0.876190,0.878095,0.878095,0.950476,0.905333,0.396164,0.392823,0.392823,0.650661,0.430428,Optimal,Optimal,Optimal,0.01,0.01,0.01,0.016051,0.014673,0.016805,0,0,0,lp/wine_trial_013.lp,logs/wine_trial_013.log,solutions/wine_trial_013.sol,lp/wine_trial_013_lex.lp,logs/wine_trial_013_lex.log,solutions/wine_trial_013_lex.sol,lp/wine_trial_013_margin.lp,logs/wine_trial_013_margin.log,solutions/wine_trial_013_margin.sol
wine,14,178,13,3,107,36,35,48,16,0.050,0.922222,0.250,0.944444,55,0.458333,0.921065,5,3,2,5,3 7 13,0 8,3,2,2 3 13,0 8,4.722222,1,2,3,2 3,1 10 13,35.004722,35,1,0.972222,0.972222,0.972222,0.972222,1.000000,1.000000,0.942857,0.914286,1.000000,0.971429,0.969571,0.032542,0.030429,0.030429,-0.026714,0.085714,0.085714,0.028571,0.000000,0.000000,-0.057143,0.787500,0.787500,0.242500,0.920000,0.908571,0.914286,0.937143,0.886343,0.068192,0.116407,0.191667,0.284247,0.153166,Optimal,Optimal,Optimal,0.01,0.02,0.03,0.017388,0.026875,0.039878,0,0,0,lp/wine_trial_014.lp,logs/wine_trial_014.log,solutions/wine_trial_014.sol,lp/wine_trial_014_lex.lp,logs/wine_trial_014_lex.log,solutions/wine_trial_014_lex.sol,lp/wine_trial_014_margin.lp,logs/wine_trial_014_margin.log,solutions/wine_trial_014_margin.sol
wine,15,178,13,3,107,36,35,48,16,0.050,0.950000,0.250,0.944444,53,0.441667,0.916898,7,5,2,7,0 11 13 14 15,1 12,5,2,0 12 13 14 15,1 11,6.472223,0,5,2,2 11 13 14 15,0 12,36.006473,36,1,1.000000,1.000000,1.000000,1.000000,0.942857,0.942857,0.942857,0.942857,0.942857,0.942857,0.948429,0.016872,-0.005571,-0.005571,-0.005571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.407500,0.407500,0.407500,0.850340,0.850340,0.866667,0.923810,0.878905,0.381888,0.381888,0.427913,0.481889,0.332645,Optimal,Optimal,Optimal,0.02,0.02,0.02,0.032559,0.027389,0.027400,0,0,0,lp/wine_trial_015.lp,logs/wine_trial_015.log,solutions/wine_trial_015.sol,lp/wine_trial_015_lex.lp,logs/wine_trial_015_lex.log,solutions/wine_trial_015_lex.sol,lp/wine_trial_015_margin.lp,logs/wine_trial_015_margin.log,solutions/wine_trial_015_margin.sol
wine,16,178,13,3,107,36,35,48,16,0.050,0.950000,0.250,0.972222,49,0.408333,0.923611,7,6,1,7,1 11 12 13 14 15,0,6,1,1 11 12 13 14 15,0,6.444445,0,6,1,6 11 12 13 14 15,2,35.006445,35,1,0.972222,0.972222,0.972222,1.000000,0.942857,0.942857,0.971429,0.942857,0.914286,0.942857,0.936714,0.018536,0.006143,0.006143,0.034714,0.000000,0.000000,0.028571,0.028571,0.028571,0.057143,0.607500,0.607500,0.937500,0.848980,0.848980,0.838095,0.951020,0.896871,0.260849,0.260849,0.216230,0.645790,0.423271,Optimal,Optimal,Optimal,0.01,0.01,0.01,0.016008,0.015856,0.021692,0,0,0,lp/wine_trial_016.lp,logs/wine_trial_016.log,solutions/wine_trial_016.sol,lp/wine_trial_016_lex.lp,logs/wine_trial_016_lex.log,solutions/wine_trial_016_lex.sol,lp/wine_trial_016_margin.lp,logs/wine_trial_016_margin.log,solutions/wine_trial_016_margin.sol
wine,17,178,13,3,107,36,35,48,16,0.050,0.950000,0.250,0.944444,52,0.433333,0.922685,5,4,1,5,1 13 14 15,0,4,1,1 13 14 15,0,4.722223,0,4,1,0 13 14 15,2,36.004723,36,1,1.000000,1.000000,1.000000,1.000000,0.971429,0.971429,0.914286,0.971429,0.942857,0.942857,0.954286,0.025297,0.017143,0.017143,-0.040000,0.000000,0.000000,-0.057143,0.028571,0.028571,-0.028571,0.715000,0.715000,0.082500,0.854286,0.854286,0.825714,0.925714,0.887471,0.277666,0.277666,0.286332,0.576615,0.277256,Optimal,Optimal,Optimal,0.01,0.01,0.01,0.015210,0.014381,0.016265,0,0,0,lp/wine_trial_017.lp,logs/wine_trial_017.log,solutions/wine_trial_017.sol,lp/wine_trial_017_lex.lp,logs/wine_trial_017_lex.log,solutions/wine_trial_017_lex.sol,lp/wine_trial_017_margin.lp,logs/wine_trial_017_margin.log,solutions/wine_trial_017_margin.sol
